pathway																											
#OTU ID	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
K00088	393.0	46.0	25.0	85.0	708.0	623.5	286.5	8.0	1108.0	1036.0	1226.5	754.0	617.25	642.0	153.0	145.25	463.0	1154.0	6.0	12.0	171.0	138.0	3.0	0.0	12.0	0.0	0.0
K00096	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00097	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	26.0	7.0	63.0	21.0	8.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	9.75	4.0	0.0	6.75	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00099	107.0	34.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
K00100	85.0	34.0	25.0	37.0	236.0	157.0	77.0	8.0	339.0	315.0	308.0	200.0	168.0	204.0	51.0	38.0	123.0	348.0	0.0	12.0	57.0	21.0	1.0	0.0	6.0	0.0	0.0
K00101	99.0	0.0	0.0	16.0	219.0	200.5	86.0	0.0	324.5	322.0	391.5	235.0	196.0	204.0	51.0	43.5	137.0	386.5	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
K00102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00103	77.0	0.0	0.0	0.0	219.0	157.0	77.0	0.0	292.0	315.0	308.0	200.0	168.0	204.0	51.0	38.0	123.0	348.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
K00104	214.0	0.0	0.0	48.0	472.0	376.0	154.0	0.0	736.0	630.0	821.0	475.0	400.0	408.0	102.0	76.0	246.0	789.0	0.0	0.0	114.0	92.0	2.0	0.0	6.0	0.0	0.0
K00108	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	365.0	315.0	385.5	227.0	205.75	208.0	51.0	44.75	130.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
K00111	192.0	0.0	0.0	32.0	472.0	369.0	175.5	0.0	736.5	658.0	784.0	475.0	381.75	418.0	102.0	88.25	282.0	761.5	0.0	0.0	114.0	67.0	2.0	0.0	6.0	0.0	0.0
K00112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00116	0.0	0.0	0.0	0.0	0.0	24.0	21.5	0.0	16.5	35.0	34.0	8.0	9.75	4.0	0.0	12.25	36.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00121	162.0	0.0	0.0	32.0	455.0	314.0	154.0	0.0	673.0	630.0	742.0	442.0	352.0	408.0	102.0	76.0	246.0	750.0	0.0	0.0	114.0	42.0	2.0	0.0	0.0	0.0	0.0
K00123	58.0	0.0	0.0	32.0	0.0	31.0	0.0	8.0	42.0	0.0	134.0	48.0	36.0	0.0	0.0	0.0	0.0	60.0	0.0	12.0	0.0	25.0	0.0	0.0	6.0	0.0	0.0
K00124	22.0	0.0	0.0	16.0	0.0	31.0	0.0	0.0	26.0	0.0	71.0	27.0	28.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
K00125	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00128	406.0	0.0	0.0	64.0	944.0	721.0	308.0	0.0	1430.0	1260.0	1508.0	902.0	764.0	816.0	204.0	152.0	492.0	1518.0	0.0	0.0	228.0	159.0	4.0	0.0	6.0	0.0	0.0
K00130	415.0	0.0	0.0	32.0	1112.0	816.0	385.0	0.0	1549.0	1575.0	1680.5	1048.0	885.75	1024.0	255.0	196.75	622.0	1800.0	0.0	0.0	285.0	130.0	5.0	0.0	0.0	0.0	0.0
K00133	143.0	46.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	6.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
K00134	107.0	46.0	25.0	53.0	236.0	236.0	120.0	8.0	398.0	385.0	447.0	262.0	215.5	218.0	51.0	62.5	195.0	392.0	6.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
K00135	566.0	0.0	0.0	64.0	1348.0	1126.5	514.0	0.0	1979.5	1953.0	2219.0	1351.0	1149.25	1242.0	306.0	264.75	831.0	2236.5	0.0	0.0	342.0	226.0	6.0	0.0	0.0	0.0	0.0
