pathway	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
PWY-6282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.785419872098400	15.563763131860400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6317	145.95261245682900	15.50769230769230	0.0	20.53953488372090	290.46153846153800	283.2590514911370	123.24416746630600	9.142857142857140	462.97441438239400	423.3733832315670	519.1925874329600	316.4388637200560	269.13876644276000	263.93008172685200	62.769230769230800	64.83821682195390	200.70745318741100	481.8246668271240	6.857142857142860	13.714285714285700	70.15384615384620	66.46258696578160	1.2307692307692300	0.0	8.727272727272730	0.0	0.0
PWY-6349	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6350	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6353	99.41361505999500	0.0	0.0	28.881360871307300	76.13341000575040	124.60855015652700	0.0	0.0	261.92089373692400	0.0	316.248700269782	156.48522853285300	126.44543910024400	0.0	0.0	0.0	0.0	180.62250308767800	0.0	0.0	0.0	64.04530436642820	0.0	0.0	0.0	0.0	0.0
PWY-6383	86.4465972194074	0.0	0.0	20.073800738007400	31.78717440831760	87.34082397003750	35.295833333333300	0.0	133.24194976432500	51.812688821752300	171.495595901492	62.05567805303680	64.15398740085620	7.853211009174310	0.0	19.698	58.70769230769230	70.4156899765272	0.0	0.0	0.0	32.394366197183100	0.0	0.0	0.0	0.0	0.0
PWY-6385	130.9352525957300	50.211724851792600	25.000000000000000	54.25816023738870	248.42105263157900	225.47367591769900	103.01996424314700	8.0	400.8199001426530	367.4033149171270	434.6241934083970	267.7934211380000	218.33618976448300	225.151364764268	53.6842105263158	52.51110124333930	166.25139043381500	407.3439342229100	6.666666666666670	12.0	60.0	50.28483448806780	1.0526315789473700	0.0	12.0	0.0	0.0
PWY-6386	122.82026425803100	51.41480648787540	25.000000000000000	54.044334975369500	246.2608695652170	225.63481142715300	102.238048299655	8.0	397.46516562536800	364.38356164383600	431.5772463125040	265.9257469598130	217.82192221969600	223.2127921279210	53.21739130434780	52.120225269343800	164.9972401103960	404.253118876445	6.545454545454550	12.000000000000000	59.47826086956520	51.13111545988260	1.0434782608695700	0.0	12.000000000000000	0.0	0.0
PWY-6387	133.2559903947100	51.387986035873400	25.0	54.58208955223880	251.73333333333300	229.11401553266400	104.21552373775400	8.0	405.9595448798990	372.02797202797200	440.38875246296200	271.4790758858830	221.72707560838500	228.1231929604020	54.400000000000000	53.108532934131700	168.16877637130800	412.9110039553550	6.857142857142860	12.0	60.800000000000000	51.48374384236450	1.0666666666666700	0.0	12.0	0.0	0.0
PWY-6397	0.0	0.0	0.0	0.0	0.0	33.43084807880370	29.12931398502580	0.0	24.588117888992600	40.62570712307550	51.51869317669290	12.450555769585100	14.425989588624600	5.6050469172454	0.0	15.788914382986200	48.225645659252600	8.788966445094210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6467	0.0	34.0	25.0	37.0	0.0	0.0	0.0	8.0	10.000000000000000	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
PWY-6478	78.855421686747	0.0	0.0	0.0	223.01618122977300	157.0	77.0	0.0	312.86063879318400	318.46153846153800	332.10434782608700	209.07127429805600	171.73333333333300	204.0	51.0	38.0	123.00000000000000	360.0926640926640	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
PWY-6519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.069156276871500	15.192553613811600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6545	160.2218676843600	0.0	0.0	39.223000148964700	295.60154975530200	263.00707041718500	122.29504744110200	0.0	471.636248012691	435.18667723681000	518.6021437752410	309.5162083175560	257.29105833869100	265.691119156227	64.04651162790700	62.28210217257740	197.3614840776640	485.68286596901000	0.0	0.0	71.58139534883720	56.30175913396480	1.255813953488370	0.0	10.8	0.0	0.0
PWY-6608	84.84304932735430	28.137931034482800	0.0	25.079482439926100	59.437037037037000	97.2196894717308	0.0	0.0	231.7065021272800	0.0	319.75135923214800	139.62706446457100	108.58622129436300	0.0	0.0	0.0	0.0	183.4995658575260	0.0	0.0	0.0	58.67768595041320	0.0	0.0	0.0	0.0	0.0
PWY-6609	116.97457627118600	27.259259259259300	0.0	22.84175084175080	236.0	221.32130777903000	88.81782437745740	0.0	371.5	323.07692307692300	407.72765957446800	256.96498054474700	215.2865005793740	214.00000000000000	51.0	50.25	147.47826086956500	389.47689345314500	8.0	0.0	57.0	58.67768595041320	1.0	0.0	6.857142857142860	0.0	0.0
PWY-6612	0.0	0.0	0.0	42.29647355019510	0.0	67.40559307727740	51.68645577100700	0.0	80.05317601945710	100.55622732769000	100.5395872189990	76.63159472252980	30.62341512131820	31.440801206567400	0.0	28.4049590752927	85.57938458374380	18.3525207827581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
